Experiment ID                :  tsp
Problem Type                 :  TSPMatrix
Data Input File Name         :  berlin52.tsp
Number of Runs               :  5
Generations per Run          :  200
Population Size              :  1000
Selection Method             :  1
Fitness Scaling Type         :  0
Min or Max Fitness           :  min
Crossover Type               :  3
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  52
Size of Genes                :  100



 R   0		 G   0		 BestInG    8060.314		 AvgOfG    9761.668		 StDv     792.429		 95% ConfInt    9711.551   9811.786
 R   0		 G  79		 BestInG    8060.314		 AvgOfG  780933.461		 StDv  776393.237		 95% ConfInt  731830.041 830036.881
 R   0		 G  80		 BestInG    8060.314		 AvgOfG  790695.129		 StDv  786159.983		 95% ConfInt  740974.006 840416.252
 R   0		 G  81		 BestInG    8060.314		 AvgOfG  800456.798		 StDv  795926.724		 95% ConfInt  750117.972 850795.624
 R   0		 G  82		 BestInG    8060.314		 AvgOfG  810218.466		 StDv  805693.461		 95% ConfInt  759261.937 861174.995
 R   0		 G  83		 BestInG    8060.314		 AvgOfG  819980.134		 StDv  815460.193		 95% ConfInt  768405.903 871554.365
 R   0		 G  84		 BestInG    8060.314		 AvgOfG  829741.802		 StDv  825226.922		 95% ConfInt  777549.869 881933.736
 R   0		 G  85		 BestInG    8060.314		 AvgOfG  839503.471		 StDv  834993.646		 95% ConfInt  786693.836 892313.106
 R   0		 G  86		 BestInG    8060.314		 AvgOfG  849265.139		 StDv  844760.366		 95% ConfInt  795837.802 902692.476
 R   0		 G  87		 BestInG    8060.314		 AvgOfG  859026.807		 StDv  854527.082		 95% ConfInt  804981.769 913071.845
 R   0		 G  88		 BestInG    8060.314		 AvgOfG  868788.475		 StDv  864293.794		 95% ConfInt  814125.736 923451.215
 R   0		 G  89		 BestInG    8060.314		 AvgOfG  878550.144		 StDv  874060.503		 95% ConfInt  823269.704 933830.584
 R   0		 G  90		 BestInG    8060.314		 AvgOfG  888311.812		 StDv  883827.209		 95% ConfInt  832413.671 944209.953
 R   0		 G  91		 BestInG    8060.314		 AvgOfG   898073.48		 StDv  893593.911		 95% ConfInt  841557.639 954589.321
 R   0		 G  92		 BestInG    8060.314		 AvgOfG  907835.148		 StDv   903360.61		 95% ConfInt  850701.607  964968.69
 R   0		 G  93		 BestInG    8060.314		 AvgOfG  917596.817		 StDv  913127.306		 95% ConfInt  859845.575 975348.058
 R   0		 G  94		 BestInG    8060.314		 AvgOfG  927358.485		 StDv  922893.998		 95% ConfInt  868989.544 985727.426
 R   0		 G  95		 BestInG    8060.314		 AvgOfG  937120.153		 StDv  932660.688		 95% ConfInt  878133.512 996106.794
 R   0		 G  96		 BestInG    8060.314		 AvgOfG  946881.822		 StDv  942427.375		 95% ConfInt  887277.4811006486.162
 R   0		 G  97		 BestInG    8060.314		 AvgOfG   956643.49		 StDv  952194.059		 95% ConfInt   896421.45 1016865.53
 R   0		 G  98		 BestInG    8060.314		 AvgOfG  966405.158		 StDv  961960.741		 95% ConfInt  905565.4191027244.897
 R   0		 G  99		 BestInG    8060.314		 AvgOfG  976166.826		 StDv   971727.42		 95% ConfInt  914709.3881037624.265
 R   0		 G 100		 BestInG    8060.314		 AvgOfG  985928.495		 StDv  981494.096		 95% ConfInt  923853.3571048003.632
 R   0		 G 101		 BestInG    8060.314		 AvgOfG  995690.163		 StDv   991260.77		 95% ConfInt  932997.3271058382.999
 R   0		 G 102		 BestInG    8060.314		 AvgOfG 1005451.831		 StDv 1001027.442		 95% ConfInt  942141.2971068762.365
 R   0		 G 103		 BestInG    8060.314		 AvgOfG 1015213.499		 StDv 1010794.112		 95% ConfInt  951285.2671079141.732
 R   0		 G 104		 BestInG    8060.314		 AvgOfG 1024975.168		 StDv 1020560.779		 95% ConfInt  960429.2371089521.099
 R   0		 G 105		 BestInG    8060.314		 AvgOfG 1034736.836		 StDv 1030327.444		 95% ConfInt  969573.2071099900.465
 R   0		 G 106		 BestInG    8060.314		 AvgOfG 1044498.504		 StDv 1040094.106		 95% ConfInt  978717.1771110279.831
 R   0		 G 107		 BestInG    8060.314		 AvgOfG 1054260.172		 StDv 1049860.767		 95% ConfInt  987861.1471120659.197
 R   0		 G 108		 BestInG    8060.314		 AvgOfG 1064021.841		 StDv 1059627.426		 95% ConfInt  997005.1181131038.563
 R   0		 G 109		 BestInG    8060.314		 AvgOfG 1073783.509		 StDv 1069394.083		 95% ConfInt 1006149.0891141417.929
 R   0		 G 110		 BestInG    8060.314		 AvgOfG 1083545.177		 StDv 1079160.738		 95% ConfInt 1015293.0591151797.295
 R   0		 G 111		 BestInG    8060.314		 AvgOfG 1093306.845		 StDv 1088927.391		 95% ConfInt  1024437.031162176.661
 R   0		 G 112		 BestInG    8060.314		 AvgOfG 1103068.514		 StDv 1098694.043		 95% ConfInt 1033581.0011172556.026
 R   0		 G 113		 BestInG    8060.314		 AvgOfG 1112830.182		 StDv 1108460.692		 95% ConfInt 1042724.9721182935.392
 R   0		 G 114		 BestInG    8060.314		 AvgOfG  1122591.85		 StDv  1118227.34		 95% ConfInt 1051868.9441193314.757
 R   0		 G 115		 BestInG    8060.314		 AvgOfG 1132353.519		 StDv 1127993.986		 95% ConfInt 1061012.9151203694.122
 R   0		 G 116		 BestInG    8060.314		 AvgOfG 1142115.187		 StDv 1137760.631		 95% ConfInt 1070156.8861214073.487
 R   0		 G 117		 BestInG    8060.314		 AvgOfG 1151876.855		 StDv 1147527.274		 95% ConfInt 1079300.8581224452.852
 R   0		 G 118		 BestInG    8060.314		 AvgOfG 1161638.523		 StDv 1157293.916		 95% ConfInt 1088444.8291234832.217
 R   0		 G 119		 BestInG    8060.314		 AvgOfG 1171400.192		 StDv 1167060.556		 95% ConfInt 1097588.8011245211.582
 R   0		 G 120		 BestInG    8060.314		 AvgOfG  1181161.86		 StDv 1176827.195		 95% ConfInt 1106732.7731255590.947
