Experiment ID                :  tsp
Problem Type                 :  TSPMatrix
Data Input File Name         :  berlin52.tsp
Number of Runs               :  5
Generations per Run          :  200
Population Size              :  1000
Selection Method             :  1
Fitness Scaling Type         :  0
Min or Max Fitness           :  min
Crossover Type               :  3
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  52
Size of Genes                :  100



 R   0		 G   0		 BestInG    8060.314		 AvgOfG    9761.668		 StDv     792.429		 95% ConfInt    9711.551   9811.786
 R   1		 G 192		 BestInG    8060.504		 AvgOfG 3850094.805		 StDv 3847084.052		 95% ConfInt 3606783.8464093405.764
 R   1		 G 193		 BestInG    8060.504		 AvgOfG 3859927.765		 StDv 3856921.891		 95% ConfInt 3615994.6064103860.923
 R   1		 G 194		 BestInG    8060.504		 AvgOfG 3869760.724		 StDv  3866759.73		 95% ConfInt 3625205.3664114316.082
 R   1		 G 195		 BestInG    8060.504		 AvgOfG 3879593.683		 StDv 3876597.569		 95% ConfInt 3634416.1254124771.241
 R   1		 G 196		 BestInG    8060.504		 AvgOfG 3889426.643		 StDv 3886435.408		 95% ConfInt 3643626.885  4135226.4
 R   1		 G 197		 BestInG    8060.504		 AvgOfG 3899259.602		 StDv 3896273.247		 95% ConfInt 3652837.6454145681.559
 R   1		 G 198		 BestInG    8060.504		 AvgOfG 3909092.561		 StDv 3906111.087		 95% ConfInt 3662048.4054156136.718
 R   1		 G 199		 BestInG    8060.504		 AvgOfG 3918925.521		 StDv 3915948.927		 95% ConfInt 3671259.1644166591.877
########
####
 R   2		 G   0		 BestInG    8182.192		 AvgOfG 3928737.435		 StDv  3925765.74		 95% ConfInt 3680450.2094177024.661
 R   2		 G   1		 BestInG    8182.192		 AvgOfG 3938549.349		 StDv 3935582.553		 95% ConfInt 3689641.2534187457.444
 R   2		 G   2		 BestInG    8182.192		 AvgOfG 3948361.263		 StDv 3945399.366		 95% ConfInt 3698832.2974197890.228
 R   2		 G   3		 BestInG    8182.192		 AvgOfG 3958173.177		 StDv 3955216.179		 95% ConfInt 3708023.3414208323.012
 R   2		 G   4		 BestInG    8182.192		 AvgOfG 3967985.091		 StDv 3965032.992		 95% ConfInt 3717214.3864218755.796
 R   2		 G   5		 BestInG    8182.192		 AvgOfG 3977797.005		 StDv 3974849.805		 95% ConfInt  3726405.43 4229188.58
 R   2		 G   6		 BestInG    8182.192		 AvgOfG 3987608.919		 StDv 3984666.619		 95% ConfInt 3735596.4744239621.363
 R   2		 G   7		 BestInG    8182.192		 AvgOfG 3997420.833		 StDv 3994483.432		 95% ConfInt 3744787.5184250054.147
 R   2		 G   8		 BestInG    8182.192		 AvgOfG 4007232.747		 StDv 4004300.245		 95% ConfInt 3753978.5634260486.931
 R   2		 G   9		 BestInG    8182.192		 AvgOfG 4017044.661		 StDv 4014117.059		 95% ConfInt 3763169.6074270919.715
 R   2		 G  10		 BestInG    8182.192		 AvgOfG 4026856.575		 StDv 4023933.872		 95% ConfInt 3772360.6514281352.499
 R   2		 G  11		 BestInG    8182.192		 AvgOfG 4036668.489		 StDv 4033750.686		 95% ConfInt 3781551.6954291785.282
 R   2		 G  12		 BestInG    8182.192		 AvgOfG 4046480.403		 StDv 4043567.499		 95% ConfInt 3790742.7394302218.066
 R   2		 G  13		 BestInG    8182.192		 AvgOfG 4056292.317		 StDv 4053384.313		 95% ConfInt 3799933.784 4312650.85
 R   2		 G  14		 BestInG    8182.192		 AvgOfG 4066104.231		 StDv 4063201.126		 95% ConfInt 3809124.8284323083.634
 R   2		 G  15		 BestInG    8182.192		 AvgOfG 4075916.145		 StDv  4073017.94		 95% ConfInt 3818315.8724333516.418
 R   2		 G  16		 BestInG    8182.192		 AvgOfG 4085728.059		 StDv 4082834.754		 95% ConfInt 3827506.9164343949.202
 R   2		 G  17		 BestInG    8182.192		 AvgOfG 4095539.973		 StDv 4092651.568		 95% ConfInt 3836697.9614354381.985
 R   2		 G  18		 BestInG    8182.192		 AvgOfG 4105351.887		 StDv 4102468.381		 95% ConfInt 3845889.0054364814.769
 R   2		 G  19		 BestInG    8182.192		 AvgOfG 4115163.801		 StDv 4112285.195		 95% ConfInt 3855080.0494375247.553
 R   2		 G  20		 BestInG    8182.192		 AvgOfG 4124975.715		 StDv 4122102.009		 95% ConfInt 3864271.0934385680.337
 R   2		 G  21		 BestInG    8182.192		 AvgOfG 4134787.629		 StDv 4131918.823		 95% ConfInt 3873462.1374396113.121
 R   2		 G  22		 BestInG    8182.192		 AvgOfG 4144599.543		 StDv 4141735.637		 95% ConfInt 3882653.1824406545.905
 R   2		 G  23		 BestInG    8182.192		 AvgOfG 4154411.457		 StDv 4151552.451		 95% ConfInt 3891844.2264416978.689
 R   2		 G  24		 BestInG    8182.192		 AvgOfG 4164223.371		 StDv 4161369.265		 95% ConfInt  3901035.274427411.472
 R   2		 G  25		 BestInG    8182.192		 AvgOfG 4174035.285		 StDv  4171186.08		 95% ConfInt 3910226.3144437844.256
 R   2		 G  26		 BestInG    8182.192		 AvgOfG 4183847.199		 StDv 4181002.894		 95% ConfInt 3919417.358 4448277.04
 R   2		 G  27		 BestInG    8182.192		 AvgOfG 4193659.113		 StDv 4190819.708		 95% ConfInt 3928608.4024458709.824
 R   2		 G  28		 BestInG    8182.192		 AvgOfG 4203471.027		 StDv 4200636.522		 95% ConfInt 3937799.4474469142.608
 R   2		 G  29		 BestInG    8182.192		 AvgOfG 4213282.941		 StDv 4210453.337		 95% ConfInt 3946990.4914479575.392
 R   2		 G  30		 BestInG    8182.192		 AvgOfG 4223094.855		 StDv 4220270.151		 95% ConfInt 3956181.5354490008.176
 R   2		 G  31		 BestInG    8182.192		 AvgOfG 4232906.769		 StDv 4230086.966		 95% ConfInt 3965372.579 4500440.96
 R   2		 G  32		 BestInG    8182.192		 AvgOfG 4242718.683		 StDv  4239903.78		 95% ConfInt 3974563.6234510873.743
 R   2		 G  33		 BestInG    8182.192		 AvgOfG 4252530.597		 StDv 4249720.595		 95% ConfInt 3983754.6674521306.527
 R   2		 G  34		 BestInG    8182.192		 AvgOfG 4262342.511		 StDv 4259537.409		 95% ConfInt 3992945.7124531739.311
 R   2		 G  35		 BestInG    8182.192		 AvgOfG 4272154.425		 StDv 4269354.224		 95% ConfInt 4002136.7564542172.095
 R   2		 G  36		 BestInG    8182.192		 AvgOfG 4281966.339		 StDv 4279171.038		 95% ConfInt   4011327.84552604.879
 R   2		 G  37		 BestInG    8182.192		 AvgOfG 4291778.253		 StDv 4288987.853		 95% ConfInt 4020518.8444563037.663
 R   2		 G  38		 BestInG    8182.192		 AvgOfG 4301590.167		 StDv 4298804.668		 95% ConfInt 4029709.8884573470.447
 R   2		 G  39		 BestInG    8182.192		 AvgOfG 4311402.081		 StDv 4308621.483		 95% ConfInt 4038900.9324583903.231
 R   2		 G  40		 BestInG    8182.192		 AvgOfG 4321213.996		 StDv 4318438.297		 95% ConfInt 4048091.9764594336.015
 R   2		 G  41		 BestInG    8182.192		 AvgOfG  4331025.91		 StDv 4328255.112		 95% ConfInt 4057283.0214604768.799
 R   2		 G  42		 BestInG    8182.192		 AvgOfG 4340837.824		 StDv 4338071.927		 95% ConfInt 4066474.0654615201.582
 R   2		 G  43		 BestInG    8182.192		 AvgOfG 4350649.738		 StDv 4347888.742		 95% ConfInt 4075665.1094625634.366
 R   2		 G  44		 BestInG    8182.192		 AvgOfG 4360461.652		 StDv 4357705.557		 95% ConfInt 4084856.153 4636067.15
 R   2		 G  45		 BestInG    8182.192		 AvgOfG 4370273.566		 StDv 4367522.372		 95% ConfInt 4094047.1974646499.934
 R   2		 G  46		 BestInG    8182.192		 AvgOfG  4380085.48		 StDv 4377339.187		 95% ConfInt 4103238.2414656932.718
 R   2		 G  47		 BestInG    8182.192		 AvgOfG 4389897.394		 StDv 4387156.002		 95% ConfInt 4112429.2854667365.502
 R   2		 G  48		 BestInG    8182.192		 AvgOfG 4399709.308		 StDv 4396972.817		 95% ConfInt 4121620.3294677798.286
 R   2		 G  49		 BestInG    8182.192		 AvgOfG 4409521.222		 StDv 4406789.632		 95% ConfInt 4130811.374 4688231.07
 R   2		 G  50		 BestInG    8182.192		 AvgOfG 4419333.136		 StDv 4416606.448		 95% ConfInt 4140002.4184698663.854
 R   2		 G  51		 BestInG    8182.192		 AvgOfG  4429145.05		 StDv 4426423.263		 95% ConfInt 4149193.4624709096.638
 R   2		 G  52		 BestInG    8182.192		 AvgOfG 4438956.964		 StDv 4436240.078		 95% ConfInt 4158384.5064719529.422
 R   2		 G  53		 BestInG    8182.192		 AvgOfG 4448768.878		 StDv 4446056.893		 95% ConfInt  4167575.554729962.206
 R   2		 G  54		 BestInG    8182.192		 AvgOfG 4458580.792		 StDv 4455873.709		 95% ConfInt 4176766.594 4740394.99
 R   2		 G  55		 BestInG    8182.192		 AvgOfG 4468392.706		 StDv 4465690.524		 95% ConfInt 4185957.6384750827.773
 R   2		 G  56		 BestInG    8182.192		 AvgOfG  4478204.62		 StDv 4475507.339		 95% ConfInt 4195148.6824761260.557
 R   2		 G  57		 BestInG    8182.192		 AvgOfG 4488016.534		 StDv 4485324.155		 95% ConfInt 4204339.7264771693.341
 R   2		 G  58		 BestInG    8182.192		 AvgOfG 4497828.448		 StDv  4495140.97		 95% ConfInt 4213530.7714782126.125
 R   2		 G  59		 BestInG    8182.192		 AvgOfG 4507640.362		 StDv 4504957.786		 95% ConfInt 4222721.8154792558.909
 R   2		 G  60		 BestInG    8182.192		 AvgOfG 4517452.276		 StDv 4514774.601		 95% ConfInt 4231912.8594802991.693
 R   2		 G  61		 BestInG    8182.192		 AvgOfG  4527264.19		 StDv 4524591.417		 95% ConfInt 4241103.9034813424.477
 R   2		 G  62		 BestInG    8182.192		 AvgOfG 4537076.104		 StDv 4534408.233		 95% ConfInt 4250294.9474823857.261
 R   2		 G  63		 BestInG    8182.192		 AvgOfG 4546888.018		 StDv 4544225.048		 95% ConfInt 4259485.9914834290.045
 R   2		 G  64		 BestInG    8182.192		 AvgOfG 4556699.932		 StDv 4554041.864		 95% ConfInt 4268677.0354844722.829
 R   2		 G  65		 BestInG    8182.192		 AvgOfG 4566511.846		 StDv  4563858.68		 95% ConfInt 4277868.0794855155.613
 R   2		 G  66		 BestInG    8182.192		 AvgOfG  4576323.76		 StDv 4573675.496		 95% ConfInt 4287059.1234865588.397
 R   2		 G  67		 BestInG    8182.192		 AvgOfG 4586135.674		 StDv 4583492.311		 95% ConfInt 4296250.1674876021.181
 R   2		 G  68		 BestInG    8182.192		 AvgOfG 4595947.588		 StDv 4593309.127		 95% ConfInt 4305441.2114886453.965
 R   2		 G  69		 BestInG    8182.192		 AvgOfG 4605759.502		 StDv 4603125.943		 95% ConfInt 4314632.2554896886.749
 R   2		 G  70		 BestInG    8182.192		 AvgOfG 4615571.416		 StDv 4612942.759		 95% ConfInt 4323823.2994907319.533
 R   2		 G  71		 BestInG    8182.192		 AvgOfG  4625383.33		 StDv 4622759.575		 95% ConfInt 4333014.3444917752.317
 R   2		 G  72		 BestInG    8182.192		 AvgOfG 4635195.244		 StDv 4632576.391		 95% ConfInt 4342205.3884928185.101
 R   2		 G  73		 BestInG    8182.192		 AvgOfG 4645007.158		 StDv 4642393.207		 95% ConfInt 4351396.4324938617.885
 R   2		 G  74		 BestInG    8182.192		 AvgOfG 4654819.072		 StDv 4652210.023		 95% ConfInt 4360587.4764949050.669
 R   2		 G  75		 BestInG    8182.192		 AvgOfG 4664630.986		 StDv 4662026.839		 95% ConfInt  4369778.524959483.453
 R   2		 G  76		 BestInG    8182.192		 AvgOfG   4674442.9		 StDv 4671843.655		 95% ConfInt 4378969.5644969916.237
 R   2		 G  77		 BestInG    8182.192		 AvgOfG 4684254.814		 StDv 4681660.471		 95% ConfInt 4388160.6084980349.021
 R   2		 G  78		 BestInG    8182.192		 AvgOfG 4694066.728		 StDv 4691477.287		 95% ConfInt 4397351.6524990781.805
 R   2		 G  79		 BestInG    8182.192		 AvgOfG 4703878.642		 StDv 4701294.103		 95% ConfInt 4406542.6965001214.589
 R   2		 G  80		 BestInG    8182.192		 AvgOfG 4713690.556		 StDv  4711110.92		 95% ConfInt  4415733.745011647.373
 R   2		 G  81		 BestInG    8182.192		 AvgOfG  4723502.47		 StDv 4720927.736		 95% ConfInt 4424924.7845022080.157
 R   2		 G  82		 BestInG    8182.192		 AvgOfG 4733314.384		 StDv 4730744.552		 95% ConfInt 4434115.8285032512.941
 R   2		 G  83		 BestInG    8182.192		 AvgOfG 4743126.298		 StDv 4740561.369		 95% ConfInt 4443306.8725042945.725
 R   2		 G  84		 BestInG    8182.192		 AvgOfG 4752938.212		 StDv 4750378.185		 95% ConfInt 4452497.9165053378.509
 R   2		 G  85		 BestInG    8182.192		 AvgOfG 4762750.127		 StDv 4760195.001		 95% ConfInt  4461688.965063811.293
 R   2		 G  86		 BestInG    8182.192		 AvgOfG 4772562.041		 StDv 4770011.818		 95% ConfInt 4470880.0045074244.077
 R   2		 G  87		 BestInG    8182.192		 AvgOfG 4782373.955		 StDv 4779828.634		 95% ConfInt 4480071.0485084676.861
 R   2		 G  88		 BestInG    8182.192		 AvgOfG 4792185.869		 StDv 4789645.451		 95% ConfInt 4489262.0925095109.645
 R   2		 G  89		 BestInG    8182.192		 AvgOfG 4801997.783		 StDv 4799462.267		 95% ConfInt 4498453.1365105542.429
 R   2		 G  90		 BestInG    8182.192		 AvgOfG 4811809.697		 StDv 4809279.084		 95% ConfInt  4507644.185115975.213
 R   2		 G  91		 BestInG    8182.192		 AvgOfG 4821621.611		 StDv   4819095.9		 95% ConfInt 4516835.2255126407.997
 R   2		 G  92		 BestInG    8182.192		 AvgOfG 4831433.525		 StDv 4828912.717		 95% ConfInt 4526026.2695136840.781
 R   2		 G  93		 BestInG    8182.192		 AvgOfG 4841245.439		 StDv 4838729.533		 95% ConfInt 4535217.3135147273.565
 R   2		 G  94		 BestInG    8182.192		 AvgOfG 4851057.353		 StDv  4848546.35		 95% ConfInt 4544408.3575157706.349
 R   2		 G  95		 BestInG    8182.192		 AvgOfG 4860869.267		 StDv 4858363.167		 95% ConfInt 4553599.4015168139.133
 R   2		 G  96		 BestInG    8182.192		 AvgOfG 4870681.181		 StDv 4868179.983		 95% ConfInt 4562790.4455178571.917
 R   2		 G  97		 BestInG    8182.192		 AvgOfG 4880493.095		 StDv   4877996.8		 95% ConfInt 4571981.4895189004.701
 R   2		 G  98		 BestInG    8182.192		 AvgOfG 4890305.009		 StDv 4887813.617		 95% ConfInt 4581172.5335199437.485
 R   2		 G  99		 BestInG    8182.192		 AvgOfG 4900116.923		 StDv 4897630.434		 95% ConfInt 4590363.5775209870.269
 R   2		 G 100		 BestInG    8182.192		 AvgOfG 4909928.837		 StDv  4907447.25		 95% ConfInt 4599554.6215220303.053
 R   2		 G 101		 BestInG    8182.192		 AvgOfG 4919740.751		 StDv 4917264.067		 95% ConfInt 4608745.6655230735.837
 R   2		 G 102		 BestInG    8182.192		 AvgOfG 4929552.665		 StDv 4927080.884		 95% ConfInt 4617936.7095241168.621
 R   2		 G 103		 BestInG    8182.192		 AvgOfG 4939364.579		 StDv 4936897.701		 95% ConfInt 4627127.7535251601.405
 R   2		 G 104		 BestInG    8182.192		 AvgOfG 4949176.493		 StDv 4946714.518		 95% ConfInt 4636318.7975262034.189
 R   2		 G 105		 BestInG    8182.192		 AvgOfG 4958988.407		 StDv 4956531.335		 95% ConfInt 4645509.8415272466.973
 R   2		 G 106		 BestInG    8182.192		 AvgOfG 4968800.321		 StDv 4966348.152		 95% ConfInt 4654700.8855282899.757
 R   2		 G 107		 BestInG    8182.192		 AvgOfG 4978612.235		 StDv 4976164.969		 95% ConfInt 4663891.9295293332.541
 R   2		 G 108		 BestInG    8182.192		 AvgOfG 4988424.149		 StDv 4985981.786		 95% ConfInt 4673082.9735303765.325
 R   2		 G 109		 BestInG    8182.192		 AvgOfG 4998236.063		 StDv 4995798.603		 95% ConfInt 4682274.0175314198.109
 R   2		 G 110		 BestInG    8182.192		 AvgOfG 5008047.977		 StDv  5005615.42		 95% ConfInt 4691465.0615324630.893
 R   2		 G 111		 BestInG    8182.192		 AvgOfG 5017859.891		 StDv 5015432.237		 95% ConfInt 4700656.1055335063.677
 R   2		 G 112		 BestInG    8182.192		 AvgOfG 5027671.805		 StDv 5025249.054		 95% ConfInt 4709847.1495345496.462
 R   2		 G 113		 BestInG    8182.192		 AvgOfG 5037483.719		 StDv 5035065.871		 95% ConfInt 4719038.1935355929.246
 R   2		 G 114		 BestInG    8182.192		 AvgOfG 5047295.633		 StDv 5044882.688		 95% ConfInt 4728229.237 5366362.03
 R   2		 G 115		 BestInG    8182.192		 AvgOfG 5057107.547		 StDv 5054699.506		 95% ConfInt 4737420.2815376794.814
 R   2		 G 116		 BestInG    8182.192		 AvgOfG 5066919.461		 StDv 5064516.323		 95% ConfInt 4746611.3255387227.598
 R   2		 G 117		 BestInG    8182.192		 AvgOfG 5076731.375		 StDv  5074333.14		 95% ConfInt 4755802.3695397660.382
 R   2		 G 118		 BestInG    8182.192		 AvgOfG 5086543.289		 StDv 5084149.957		 95% ConfInt 4764993.4135408093.166
 R   2		 G 119		 BestInG    8182.192		 AvgOfG 5096355.203		 StDv 5093966.775		 95% ConfInt 4774184.457 5418525.95
 R   2		 G 120		 BestInG    8182.192		 AvgOfG 5106167.117		 StDv 5103783.592		 95% ConfInt 4783375.5015428958.734
 R   2		 G 121		 BestInG    8182.192		 AvgOfG 5115979.031		 StDv 5113600.409		 95% ConfInt 4792566.5455439391.518
 R   2		 G 122		 BestInG    8182.192		 AvgOfG 5125790.945		 StDv 5123417.227		 95% ConfInt 4801757.5895449824.302
 R   2		 G 123		 BestInG    8182.192		 AvgOfG 5135602.859		 StDv 5133234.044		 95% ConfInt 4810948.6335460257.086
 R   2		 G 124		 BestInG    8182.192		 AvgOfG 5145414.773		 StDv 5143050.862		 95% ConfInt 4820139.677 5470689.87
 R   2		 G 125		 BestInG    8182.192		 AvgOfG 5155226.687		 StDv 5152867.679		 95% ConfInt  4829330.725481122.654
 R   2		 G 126		 BestInG    8182.192		 AvgOfG 5165038.601		 StDv 5162684.496		 95% ConfInt 4838521.7645491555.438
 R   2		 G 127		 BestInG    8182.192		 AvgOfG 5174850.515		 StDv 5172501.314		 95% ConfInt 4847712.8085501988.223
 R   2		 G 128		 BestInG    8182.192		 AvgOfG 5184662.429		 StDv 5182318.131		 95% ConfInt 4856903.8525512421.007
 R   2		 G 129		 BestInG    8182.192		 AvgOfG 5194474.344		 StDv 5192134.949		 95% ConfInt 4866094.8965522853.791
 R   2		 G 130		 BestInG    8182.192		 AvgOfG 5204286.258		 StDv 5201951.767		 95% ConfInt  4875285.945533286.575
 R   2		 G 131		 BestInG    8182.192		 AvgOfG 5214098.172		 StDv 5211768.584		 95% ConfInt 4884476.9845543719.359
 R   2		 G 132		 BestInG    8182.192		 AvgOfG 5223910.086		 StDv 5221585.402		 95% ConfInt 4893668.0285554152.143
 R   2		 G 133		 BestInG    8182.192		 AvgOfG   5233722.0		 StDv 5231402.219		 95% ConfInt 4902859.0725564584.927
 R   2		 G 134		 BestInG    8182.192		 AvgOfG 5243533.914		 StDv 5241219.037		 95% ConfInt 4912050.1165575017.711
 R   2		 G 135		 BestInG    8182.192		 AvgOfG 5253345.828		 StDv 5251035.855		 95% ConfInt  4921241.165585450.495
 R   2		 G 136		 BestInG    8182.192		 AvgOfG 5263157.742		 StDv 5260852.672		 95% ConfInt 4930432.2045595883.279
 R   2		 G 137		 BestInG    8182.192		 AvgOfG 5272969.656		 StDv  5270669.49		 95% ConfInt 4939623.2485606316.063
 R   2		 G 138		 BestInG    8182.192		 AvgOfG  5282781.57		 StDv 5280486.308		 95% ConfInt 4948814.2925616748.847
 R   2		 G 139		 BestInG    8182.192		 AvgOfG 5292593.484		 StDv 5290303.126		 95% ConfInt 4958005.3365627181.632
 R   2		 G 140		 BestInG    8182.192		 AvgOfG 5302405.398		 StDv 5300119.943		 95% ConfInt  4967196.385637614.416
 R   2		 G 141		 BestInG    8182.192		 AvgOfG 5312217.312		 StDv 5309936.761		 95% ConfInt 4976387.424  5648047.2
 R   2		 G 142		 BestInG    8182.192		 AvgOfG 5322029.226		 StDv 5319753.579		 95% ConfInt 4985578.4685658479.984
 R   2		 G 143		 BestInG    8182.192		 AvgOfG  5331841.14		 StDv 5329570.397		 95% ConfInt 4994769.5125668912.768
 R   2		 G 144		 BestInG    8182.192		 AvgOfG 5341653.054		 StDv 5339387.215		 95% ConfInt 5003960.5565679345.552
 R   2		 G 145		 BestInG    8182.192		 AvgOfG 5351464.968		 StDv 5349204.033		 95% ConfInt   5013151.65689778.336
 R   2		 G 146		 BestInG    8182.192		 AvgOfG 5361276.882		 StDv  5359020.85		 95% ConfInt 5022342.644 5700211.12
 R   2		 G 147		 BestInG    8182.192		 AvgOfG 5371088.796		 StDv 5368837.668		 95% ConfInt 5031533.6885710643.904
 R   2		 G 148		 BestInG    8182.192		 AvgOfG  5380900.71		 StDv 5378654.486		 95% ConfInt 5040724.7315721076.688
 R   2		 G 149		 BestInG    8182.192		 AvgOfG 5390712.624		 StDv 5388471.304		 95% ConfInt 5049915.7755731509.473
 R   2		 G 150		 BestInG    8182.192		 AvgOfG 5400524.538		 StDv 5398288.122		 95% ConfInt 5059106.8195741942.257
 R   2		 G 151		 BestInG    8182.192		 AvgOfG 5410336.452		 StDv  5408104.94		 95% ConfInt 5068297.8635752375.041
 R   2		 G 152		 BestInG    8182.192		 AvgOfG 5420148.366		 StDv 5417921.758		 95% ConfInt 5077488.9075762807.825
 R   2		 G 153		 BestInG    8182.192		 AvgOfG  5429960.28		 StDv 5427738.576		 95% ConfInt 5086679.9515773240.609
 R   2		 G 154		 BestInG    8182.192		 AvgOfG 5439772.194		 StDv 5437555.395		 95% ConfInt 5095870.9955783673.393
 R   2		 G 155		 BestInG    8182.192		 AvgOfG 5449584.108		 StDv 5447372.213		 95% ConfInt 5105062.0395794106.177
 R   2		 G 156		 BestInG    8182.192		 AvgOfG 5459396.022		 StDv 5457189.031		 95% ConfInt 5114253.0835804538.961
 R   2		 G 157		 BestInG    8182.192		 AvgOfG 5469207.936		 StDv 5467005.849		 95% ConfInt 5123444.1275814971.745
 R   2		 G 158		 BestInG    8182.192		 AvgOfG  5479019.85		 StDv 5476822.667		 95% ConfInt 5132635.171 5825404.53
 R   2		 G 159		 BestInG    8182.192		 AvgOfG 5488831.764		 StDv 5486639.485		 95% ConfInt 5141826.2155835837.314
 R   2		 G 160		 BestInG    8182.192		 AvgOfG 5498643.678		 StDv 5496456.303		 95% ConfInt 5151017.2595846270.098
 R   2		 G 161		 BestInG    8182.192		 AvgOfG 5508455.592		 StDv 5506273.122		 95% ConfInt 5160208.3035856702.882
 R   2		 G 162		 BestInG    8182.192		 AvgOfG 5518267.506		 StDv  5516089.94		 95% ConfInt 5169399.3465867135.666
 R   2		 G 163		 BestInG    8182.192		 AvgOfG  5528079.42		 StDv 5525906.758		 95% ConfInt  5178590.39 5877568.45
 R   2		 G 164		 BestInG    8182.192		 AvgOfG 5537891.334		 StDv 5535723.576		 95% ConfInt 5187781.4345888001.234
 R   2		 G 165		 BestInG    8182.192		 AvgOfG 5547703.248		 StDv 5545540.395		 95% ConfInt 5196972.4785898434.018
 R   2		 G 166		 BestInG    8182.192		 AvgOfG 5557515.162		 StDv 5555357.213		 95% ConfInt 5206163.5225908866.803
 R   2		 G 167		 BestInG    8182.192		 AvgOfG 5567327.076		 StDv 5565174.031		 95% ConfInt 5215354.5665919299.587
 R   2		 G 168		 BestInG    8182.192		 AvgOfG  5577138.99		 StDv  5574990.85		 95% ConfInt  5224545.615929732.371
 R   2		 G 169		 BestInG    8182.192		 AvgOfG 5586950.904		 StDv 5584807.668		 95% ConfInt 5233736.6545940165.155
 R   2		 G 170		 BestInG    8182.192		 AvgOfG 5596762.818		 StDv 5594624.486		 95% ConfInt 5242927.6985950597.939
 R   2		 G 171		 BestInG    8182.192		 AvgOfG 5606574.732		 StDv 5604441.305		 95% ConfInt 5252118.7425961030.723
 R   2		 G 172		 BestInG    8182.192		 AvgOfG 5616386.646		 StDv 5614258.123		 95% ConfInt 5261309.7865971463.507
 R   2		 G 173		 BestInG    8182.192		 AvgOfG  5626198.56		 StDv 5624074.942		 95% ConfInt  5270500.835981896.291
 R   2		 G 174		 BestInG    8182.192		 AvgOfG 5636010.475		 StDv  5633891.76		 95% ConfInt 5279691.8735992329.076
 R   2		 G 175		 BestInG    8182.192		 AvgOfG 5645822.389		 StDv 5643708.579		 95% ConfInt 5288882.917 6002761.86
 R   2		 G 176		 BestInG    8182.192		 AvgOfG 5655634.303		 StDv 5653525.397		 95% ConfInt 5298073.9616013194.644
 R   2		 G 177		 BestInG    8182.192		 AvgOfG 5665446.217		 StDv 5663342.216		 95% ConfInt 5307265.0056023627.428
 R   2		 G 178		 BestInG    8182.192		 AvgOfG 5675258.131		 StDv 5673159.034		 95% ConfInt 5316456.0496034060.212
 R   2		 G 179		 BestInG    8182.192		 AvgOfG 5685070.045		 StDv 5682975.853		 95% ConfInt 5325647.0936044492.996
 R   2		 G 180		 BestInG    8182.192		 AvgOfG 5694881.959		 StDv 5692792.671		 95% ConfInt 5334838.137 6054925.78
 R   2		 G 181		 BestInG    8182.192		 AvgOfG 5704693.873		 StDv  5702609.49		 95% ConfInt 5344029.1816065358.565
 R   2		 G 182		 BestInG    8182.192		 AvgOfG 5714505.787		 StDv 5712426.308		 95% ConfInt 5353220.2256075791.349
 R   2		 G 183		 BestInG    8182.192		 AvgOfG 5724317.701		 StDv 5722243.127		 95% ConfInt 5362411.2696086224.133
 R   2		 G 184		 BestInG    8182.192		 AvgOfG 5734129.615		 StDv 5732059.946		 95% ConfInt 5371602.3126096656.917
 R   2		 G 185		 BestInG    8182.192		 AvgOfG 5743941.529		 StDv 5741876.764		 95% ConfInt 5380793.3566107089.701
 R   2		 G 186		 BestInG    8182.192		 AvgOfG 5753753.443		 StDv 5751693.583		 95% ConfInt   5389984.46117522.485
 R   2		 G 187		 BestInG    8182.192		 AvgOfG 5763565.357		 StDv 5761510.402		 95% ConfInt 5399175.4446127955.269
 R   2		 G 188		 BestInG    8182.192		 AvgOfG 5773377.271		 StDv  5771327.22		 95% ConfInt 5408366.4886138388.054
 R   2		 G 189		 BestInG    8182.192		 AvgOfG 5783189.185		 StDv 5781144.039		 95% ConfInt 5417557.5326148820.838
 R   2		 G 190		 BestInG    8182.192		 AvgOfG 5793001.099		 StDv 5790960.858		 95% ConfInt 5426748.5766159253.622
 R   2		 G 191		 BestInG    8182.192		 AvgOfG 5802813.013		 StDv 5800777.677		 95% ConfInt  5435939.626169686.406
 R   2		 G 192		 BestInG    8182.192		 AvgOfG 5812624.927		 StDv 5810594.495		 95% ConfInt 5445130.664 6180119.19
 R   2		 G 193		 BestInG    8182.192		 AvgOfG 5822436.841		 StDv 5820411.314		 95% ConfInt 5454321.7086190551.974
 R   2		 G 194		 BestInG    8182.192		 AvgOfG 5832248.755		 StDv 5830228.133		 95% ConfInt 5463512.7516200984.759
 R   2		 G 195		 BestInG    8182.192		 AvgOfG 5842060.669		 StDv 5840044.952		 95% ConfInt 5472703.7956211417.543
 R   2		 G 196		 BestInG    8182.192		 AvgOfG 5851872.583		 StDv 5849861.771		 95% ConfInt 5481894.8396221850.327
 R   2		 G 197		 BestInG    8182.192		 AvgOfG 5861684.497		 StDv  5859678.59		 95% ConfInt 5491085.8836232283.111
 R   2		 G 198		 BestInG    8182.192		 AvgOfG 5871496.411		 StDv 5869495.408		 95% ConfInt 5500276.9276242715.895
